PMID	Gene Name	Gene Type	Cell Name	Cell Type	Tissue Type	Experiment Type	Experimental Method	Title	Function	GeneNameText	id	Interacting Gene	CellOntologyID	Marker Type	Disease Name
30691826	BMP2	TFMarker	Interstitial cell	Normal cell	Artery	low-throughput	Western blot;Immunoblotting	MMP-12eInduced Pro-osteogenic Responses in Human Aortic Valve Interstitial Cells	Runt-associated transcription factor 2 (RUNX-2), bone morphogenetic protein 2 (BMP-2), and alkaline phosphatase (ALP) are markers of osteogenic responses in human aortic valve interstitial cells (AVICS)		29	MMP12;ALPL;RUNX2	CL_0000178	Disease Marker	Background: Calcific aortic valve disease
31621975	POU5F1	TFMarker	Dendritic cell	Normal cell	Bone marrow	low-throughput	Flow cytometry	iPS Cells Reprogrammed from Primary Dendritic Cells Provide an Abundant Source of Immunostimulatory Dendritic Cells for Use in Immunotherapy	Transcriptional factors OCT4、SOX2、KLF4 and c-MYC reprogram immature and terminally differentiated dendritic cells into induced pluripotent stem cells (IPSCs)		30	MYC;KLF4;POU5F1;SOX2	CL_0000451	Cell Marker	
31621975	SOX2	TFMarker	Dendritic cell	Normal cell	Bone marrow	low-throughput	Flow cytometry	iPS Cells Reprogrammed from Primary Dendritic Cells Provide an Abundant Source of Immunostimulatory Dendritic Cells for Use in Immunotherapy	Transcriptional factors OCT4、SOX2、KLF4 and c-MYC reprogram immature and terminally differentiated dendritic cells into induced pluripotent stem cells (IPSCs)		31	MYC;KLF4;POU5F1;SOX2	CL_0000451	Cell Marker	
31621975	KLF4	TFMarker	Dendritic cell	Normal cell	Bone marrow	low-throughput	Flow cytometry	iPS Cells Reprogrammed from Primary Dendritic Cells Provide an Abundant Source of Immunostimulatory Dendritic Cells for Use in Immunotherapy	Transcriptional factors OCT4、SOX2、KLF4 and c-MYC reprogram immature and terminally differentiated dendritic cells into induced pluripotent stem cells (IPSCs)		32	MYC;KLF4;POU5F1;SOX2	CL_0000451	Cell Marker	
31621975	MYC	TFMarker	Dendritic cell	Normal cell	Bone marrow	low-throughput	Flow cytometry	iPS Cells Reprogrammed from Primary Dendritic Cells Provide an Abundant Source of Immunostimulatory Dendritic Cells for Use in Immunotherapy	Transcriptional factors OCT4、SOX2、KLF4 and c-MYC reprogram immature and terminally differentiated dendritic cells into induced pluripotent stem cells (IPSCs)		33	MYC;KLF4;POU5F1;SOX2	CL_0000451	Cell Marker	
31644995	POU5F1	TF	Stem cell	Normal cell	Embryo	low-throughput	Immunofluorescence staining;PCR	Generation of three iPSC lines from fibroblasts of a patient with Aicardi Goutières Syndrome mutated in TREX1	OCT4, SOX2, c-Myc and KLF4 are transcription factors that regulate the expression of the pluripotent marker TREX1		34	TREX1	CL_0000034	Disease Marker	Aicardi Goutières Syndrome
31644995	SOX2	TF	Stem cell	Normal cell	Embryo	low-throughput	Immunofluorescence staining;PCR	Generation of three iPSC lines from fibroblasts of a patient with Aicardi Goutières Syndrome mutated in TREX1	OCT4, SOX2, c-Myc and KLF4 are transcription factors that regulate the expression of the pluripotent marker TREX1		35	TREX1	CL_0000034	Disease Marker	Aicardi Goutières Syndrome
31644995	MYC	TF	Stem cell	Normal cell	Embryo	low-throughput	Immunofluorescence staining;PCR	Generation of three iPSC lines from fibroblasts of a patient with Aicardi Goutières Syndrome mutated in TREX1	OCT4, SOX2, c-Myc and KLF4 are transcription factors that regulate the expression of the pluripotent marker TREX1		36	TREX1	CL_0000034	Disease Marker	Aicardi Goutières Syndrome
31644995	KLF4	TF	Stem cell	Normal cell	Embryo	low-throughput	Immunofluorescence staining;PCR	Generation of three iPSC lines from fibroblasts of a patient with Aicardi Goutières Syndrome mutated in TREX1	OCT4, SOX2, c-Myc and KLF4 are transcription factors that regulate the expression of the pluripotent marker TREX1		37	TREX1	CL_0000034	Disease Marker	Aicardi Goutières Syndrome
31644995	POU5F1	TF	Stem cell	Normal cell	Embryo	low-throughput	Immunofluorescence staining;PCR		OCT4, SOX2, c-Myc and KLF4 are transcription factors that regulate the expression of the pluripotent marker TREX1		38	TREX1	CL_0000034	Disease Marker	Aicardi Goutières Syndrome
31663626	GATA3	TFMarker	T cell	Normal cell	Immune	low-throughput	Flow Cytometry;PCR;Western blot	T‐Cell Diferentiation to T Helper 9 Phenotype is Elevated by Extremely Low‐Frequency Electromagnetic FieldsVia Induction of IL‐2 Signaling	GATA3 is a transcription factor regulating CD4+ T cell and a marker of CD4+ T cell		39	STAT5A;STAT6	CL_0000084	Disease Marker	Inflammation
31663626	STAT5A	TF	T cell	Normal cell	Immune	low-throughput	Flow Cytometry;PCR;Western blot	T‐Cell Diferentiation to T Helper 9 Phenotype is Elevated by Extremely Low‐Frequency Electromagnetic FieldsVia Induction of IL‐2 Signaling	STAT5 and STAT6 regulate GATA3 expression in CD4+ T cells		40	GATA3;IL9	CL_0000084	Disease Marker	Inflammation
31663626	STAT6	TF	T cell	Normal cell	Immune	low-throughput	Flow Cytometry;PCR;Western blot	T‐Cell Diferentiation to T Helper 9 Phenotype is Elevated by Extremely Low‐Frequency Electromagnetic FieldsVia Induction of IL‐2 Signaling	STAT5 and STAT6 regulate GATA3 expression in CD4+ T cells		41	GATA3	CL_0000084	Disease Marker	Inflammation
7503811	DDIT3	TF	Liposarcoma cell	Cancer cell	Adipose	low-throughput	Western blot	Fusion of the dominant negative transcription regulator CHOP with a novel gene FUS by translocation t(12;16) in malignant liposarcoma	We show that the translocation in malignant myxoid liposarcoma can be a fusion of the CHOP dominant negative transcription factor gene with a novel gene.		42	FUS		Disease Marker	Malignant lipoSarcoma
7503811	FUS	I Marker	Liposarcoma cell	Cancer cell	Adipose	low-throughput	Western blot	Fusion of the dominant negative transcription regulator CHOP with a novel gene FUS by translocation t(12;17) in malignant liposarcoma	FUS, which can result in fusion of the FUS glycine-rich protein with the whole CHOP coding region.		43	DDIT3		Disease Marker	Malignant lipoSarcoma
7915745	HOXC4	TFMarker	epithelial cell	Cancer cell	Skin	low-throughput + high-throughput	RT-PCR;DNA-seq;Microscopic observation	Expression of the homeobox gene HOXC4 in keratinocytes of normal skin and epithelial skin tumors is correlated with differentiation	HOXC4 is expressed mainly in differentiated keratinocytes. Lack of differentiation (as in neoplastic cells) is accompanied by downregulation o HOXC4 eTipression.		44	KRT10		Cell Marker	
7915745	KRT10	TFMarker	epithelial cell	Cancer cell	Skin	low-throughput + high-throughput	RT-PCR;DNA-seq;Microscopic observation	Expression of the homeobox gene HOXC4 in keratinocytes of normal skin and epithelial skin tumors is correlated with differentiation	Further study of epidermal neoplasms with RISH and cytokeratin 10 (CK10) immunostaining revealed a similar distribution pattern C3( HOXC4 and CKIO expression in atypical and neoplastic keratinocytes.		45	HOXC4		Cell Marker	
7957668	FOXA1	TF Pmarker	Liver cell	Cancer cell	Liver	low-throughput	Western blot;Microscopic observation;Immunofluorescent staining	Hepatocytic Transcription Factor Expression in Human EmbryonalCarcinoma and Yolk Sac Carcinoma Cell Lines: Expression of HNF 3a in Models of Early Endodermal Cell Differentiation	He-patocytic transcription factors, especially HNF-3A, may play an important role in early human endodermal differentiation.		46	HNF1A	CL_0000182	Disease Marker	Yolk sac carcinoma
7957668	HNF1A	TF Pmarker	Liver cell	Cancer cell	Liver	low-throughput	Western blot;Microscopic observation;Immunofluorescent staining	Hepatocytic Transcription Factor Expression in Human EmbryonalCarcinoma and Yolk Sac Carcinoma Cell Lines: Expression of HNF 3a in Models of Early Endodermal Cell Differentiation	We found that a yolk sac carcinoma cell line with a phenotype similar to rodent visceral endoderm expressed transcripts for HNF-1A.		47	FOXA1	CL_0000182	Disease Marker	Yolk sac carcinoma
8477653	GAP43	TFMarker	Nerve cell	Cancer cell	Brain	low-throughput	Western blot	Insulin-Like Growth Factor I Regulates c-wtyc and GAP-43 Messenger Ribonucleic Acid Expression in SH-SY5Y Human Neuroblastoma Cells	Insulin-Like growth factor I regulates c-wtyc and GAP-43 messenger ribonucleic acid expression in SH-SY5Y human neuroblastoma cells.		48	IGF1	CL_0002319	Disease Marker	Neuroblastoma
8477653	IGF1	TFMarker	Nerve cell	Cancer cell	Brain	low-throughput	Western blot	Insulin-Like Growth Factor I Regulates c-wtyc and GAP-43 Messenger Ribonucleic Acid Expression in SH-SY5Y Human Neuroblastoma Cells	IGF-I is a neurotrophic factor which exhibits developmental- and region-specific regulation in the human brain.		49	GAP43	CL_0002319	Disease Marker	Neuroblastoma
8782819	MITF	TF	Melanocytes cell	Cancer cell	Skin	low-throughput	Western blot	Ectopic expression of MITF, a gene for Waardenburg syndrome type 2, converts fibroblasts to cells with melanocyte characteristics	ectopic expression of MITF converts NIH/3T3 fibroblasts into cells with characteristics of melanocytes.		50			Disease Marker	Melanoma
8814256	IL2	T Marker	T cell	Cancer cell	Lymph	low-throughput	Flow-throughput cytometry;Western blot	Severe combined immunodeficiency due to defective binding of the nuclear factor of activated T cells in T lymphocytes of two male siblings	Furthermore both childrens' T cells were unable to produce the cytokines IL-2, interferon-y (IFN-y), IL-4 and tumor necrosis factor-a (TNF-a).		51	JUN	CL_0000084	Cell Marker	
8814256	IL4	T Marker	T cell	Cancer cell	Lymph	low-throughput	Flow-throughput cytometry;Western blot	Severe combined immunodeficiency due to defective binding of the nuclear factor of activated T cells in T lymphocytes of two male siblings	Furthermore both childrens' T cells were unable to produce the cytokines IL-2, interferon-y (IFN-y), IL-4 and tumor necrosis factor-a (TNF-a).		52	JUN	CL_0000084	Cell Marker	
9020185	TAL1	TF Pmarker	T cell	Cancer cell	Lymph	low-throughput	Weston blot;RT-PCR;Flow cytometry	Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL	Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.		53	LMO1;GATA3;LMO2	CL_0000084	Disease Marker	T cell Acute lymphoblastic Leukemia (T-ALL)
9020185	LMO1	TFMarker	T cell	Cancer cell	Lymph	low-throughput	Weston blot;RT-PCR;Flow cytometry	Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL	Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.		54	TAL1;LMO2;GATA3	CL_0000084	Disease Marker	T cell Acute lymphoblastic Leukemia (T-ALL)
9020185	LMO2	TFMarker	T cell	Cancer cell	Lymph	low-throughput	Weston blot;RT-PCR;Flow cytometry	Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL	Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.		55	LMO1;TAL1;GATA3	CL_0000084	Disease Marker	T cell Acute lymphoblastic Leukemia (T-ALL)
9020185	GATA3	TFMarker	T cell	Cancer cell	Lymph	low-throughput	Weston blot;RT-PCR;Flow cytometry	Transcriptional Activity of TAL1 in T Cell Acute Lymphoblastic Leukemia (T-ALL) Requires RBTN1 or -2 and Induces TALLA1, a Highly Specific Tumor Marker of T-ALL	Ectopic TAL1 and RBTN1 or -2, together with some endogenous T cell-specific cofactors like GATA3, constitute a highly collaborative set of transcription factors whose aberrant activity in T cells may lead to leukemogenesis by modulating expression of downstream genes such as TALLA1.		56	LMO1;TAL1;LMO2	CL_0000084	Disease Marker	T cell Acute lymphoblastic Leukemia (T-ALL)
10595911	GATA4	TFMarker	Germ cell	Cancer cell	Gonad	low-throughput	Immunohistochemistry;Microscopic observation	Transcription Factor GATA-4 Is Expressed in Pediatric Yolk Sac Tumors 	We conclude that GATA-4 is a clinically useful marker of human YSTs and speculate that it may play a role in the maintenance of the malignant phenotype		57		CL_0000586	Disease Marker	Pediatric Yolk sacTumors
10595911	GATA4	TFMarker	Germ cell	Cancer cell	Gonad	low-throughput	Immunohistochemistry;Microscopic observation	Transcription Factor GATA-4 Is Expressed in Pediatric Yolk Sac Tumors 	We conclude that GATA-4 is a clinically useful marker of human YSTs and speculate that it may play a role in the maintenance of the malignant phenotype		58		CL_0000670	Disease Marker	Pediatric Yolk sacTumors
10665914	TTF1	TFMarker	Metastatic small cell lung carcinoma cell	Cancer cell	Lung	low-throughput	Immunohistochemistry;Microscopic observation	Differential Expression of Thyroid Transcription Factor 1 in Small Cell Lung Carcinoma and Merkel Cell Tumor 	These data indicate that TTF-1 is a sensitive (97%) and specific (100%) marker for SCLCs and can be used to differentiate SCLCs from Merkel cell tumors.		59	KRT20		Disease Marker	Small cell Lung carcinoma
11211309	MITF	TFMarker	Melanocytes cell	Cancer cell	Lung	low-throughput	Microscopic observation	Clear Cell Sarcoma Shows Immunoreactivity for Microphthalmia Transcription Factor: Further Evidence for Melanocytic Differentiation	Recently, microphthalmia transcription factor expression was shown to be both a sensitive and specific marker of epithelioid melanoma.		60			Disease Marker	Melanoma
11776479	TP63	TFMarker	Basal cell	Cancer cell	Prostate	low-throughput	Immunohistochemistry	Cell differentiation lineage in the prostate 	However, a small fraction of adult prostatic basal epithelial cells co-expressed the full spectrum of basal and luminal epithelial cell markers (CK5, CK14, CK8, CK18, CK19, p63, GSTpi).		61		CL_0000646	Cell Marker	
11886515	MITF	TF	Melanocytes cell	Cancer cell	Nerve	low-throughput	RT-PCR;Western blot	Transcriptional Repression of the Microphthalmia Gene in Melanoma Cells Correlates With the Unresponsiveness of Target Genes to Ectopic Microphthalmia-Associated Transcription Factor	The transcription of these marker genes [tyrosinase, tyrosinase-related proteins 1 and 2 (TRP-1 and TRP-2)] is believed to be regulated by the microphthalmia transcription factor, a member of the basic helix loop helix leucine zipper (bHLH-LZ) family.		62			Disease Marker	Melanoma
12082635	IFI27	T Marker	Breast cancer cell	Cancer cell	Breast	low-throughput	Luciferase assays;Weston blot;Microscopic observation;Immunohistochemistry;EMSA	BRCA1 transactivates the cyclin-dependent kinase inhibitor p27	P27 protein is a marker expressed in breast cancer cells and is regulated by the breast cancer susceptibility gene BRCA1		63	BRCA1		Disease Marker	Breast Cancer
12360049	PAX5	TF	B cell	Cancer cell	Lymph	low-throughput	Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry	The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker	Pax-5 upregulates CD19 and Ig (CD79a)		64	CD79A;MS4A1;CD19	CL_0000236	Cell Marker	
12360049	CD19	T Marker	B cell	Cancer cell	Lymph	low-throughput	Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry	The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker	CD19 is upregulated by Pax-5		65	PAX5	CL_0000236	Cell Marker	
12360049	CD79A	T Marker	B cell	Cancer cell	Lymph	low-throughput	Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry	The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker	CD79a is upregulated by Pax-5		66	PAX5	CL_0000236	Cell Marker	
12360049	MS4A1	T Marker	B cell	Cancer cell	Lymph	low-throughput	Immunohistochemistry;Microscopic observation;Flow-throughput cytometry;Immunohistochemistry	The Value of anti-pax-5 Immunostaining in Routinely Fixed and Paraffin-Embedded Sections: A Novel Pan pre-B and B-cell Marker	There was a strong association between Pax-5 and CD20 expression.		67	PAX5	CL_0000236	Cell Marker	
14512183	MYBL2	TF	Nerve cell	Cancer cell	Lung	low-throughput	Western blot	Stimulation of the murineUchl1gene promoter bythe B-Myb transcription factor	It has been reported that human lung cancers frequently overexpress boththe ubiquitous cell cycle transcription factor B-MYB and the ubiquitin carboxyterminalhydrolase UCHL1.		68	UCHL1	CL_0002319	Disease Marker	Lung Cancer
